site_count,ok,commit_mode,disaster_safe_ms
2,1,FAST,163.873361
2,1,FAST,119.298196
2,1,FAST,126.531917
2,1,FAST,133.737908
2,1,FAST,83.258638
2,1,FAST,114.277691
2,1,FAST,148.691159
2,1,FAST,105.589431
2,1,FAST,135.915417
2,1,FAST,139.259255
2,1,FAST,162.635418
2,1,FAST,106.183095
2,1,FAST,150.200973
2,1,FAST,110.750764
2,1,FAST,84.766463
2,1,FAST,134.342954
2,1,FAST,83.852131
2,1,FAST,158.031743
2,1,FAST,136.460590
2,1,FAST,120.642883
2,1,FAST,169.355879
2,1,FAST,189.977693
2,1,FAST,110.318817
2,1,FAST,146.735990
2,1,FAST,118.671527
2,1,FAST,89.680973
2,1,FAST,171.757891
2,1,FAST,96.767238
2,1,FAST,140.881962
2,1,FAST,166.101475
2,1,FAST,119.792191
2,1,FAST,141.559091
2,1,FAST,179.728212
2,1,FAST,206.644650
2,1,FAST,185.100854
2,1,FAST,213.735525
2,1,FAST,105.496156
2,1,FAST,134.647118
2,1,FAST,156.233755
2,1,FAST,141.709872
2,1,FAST,104.805835
2,1,FAST,117.931825
2,1,FAST,164.749333
2,1,FAST,111.127924
2,1,FAST,90.204035
2,1,FAST,89.835919
2,1,FAST,148.237976
2,1,FAST,83.948301
2,1,FAST,142.574674
2,1,FAST,150.366505
2,1,FAST,84.742848
2,1,FAST,113.222924
2,1,FAST,127.837285
2,1,FAST,143.344936
2,1,FAST,177.648749
2,1,FAST,179.246273
2,1,FAST,207.606167
2,1,FAST,131.023905
2,1,FAST,83.859389
2,1,FAST,151.951763
2,1,FAST,118.111725
2,1,FAST,101.656569
2,1,FAST,206.512817
2,1,FAST,192.034742
2,1,FAST,155.229405
2,1,FAST,100.665808
2,1,FAST,128.634163
2,1,FAST,178.626214
2,1,FAST,181.355073
2,1,FAST,146.861286
2,1,FAST,96.450951
2,1,FAST,108.499772
2,1,FAST,159.065632
2,1,FAST,125.413431
2,1,FAST,112.423010
2,1,FAST,105.401595
2,1,FAST,148.682244
2,1,FAST,165.498214
2,1,FAST,82.813012
2,1,FAST,106.885864
2,1,FAST,179.042075
2,1,FAST,92.855417
2,1,FAST,198.470934
2,1,FAST,123.359427
2,1,FAST,144.105187
2,1,FAST,95.685099
2,1,FAST,178.214448
2,1,FAST,128.409624
2,1,FAST,83.914861
2,1,FAST,142.603915
2,1,FAST,184.821686
2,1,FAST,172.048754
2,1,FAST,120.607411
2,1,FAST,185.047050
2,1,FAST,166.290376
2,1,FAST,146.081506
2,1,FAST,120.744280
2,1,FAST,84.112916
2,1,FAST,106.522855
2,1,FAST,177.376960
2,1,FAST,213.151680
2,1,FAST,203.867056
2,1,FAST,91.907217
2,1,FAST,100.775345
2,1,FAST,142.443292
2,1,FAST,146.507834
2,1,FAST,119.069920
2,1,FAST,175.196428
2,1,FAST,110.919802
2,1,FAST,96.131337
2,1,FAST,175.799714
2,1,FAST,173.644414
2,1,FAST,84.126610
2,1,FAST,133.451367
2,1,FAST,155.728206
2,1,FAST,102.313450
2,1,FAST,83.827321
2,1,FAST,129.447357
2,1,FAST,101.474785
2,1,FAST,130.033388
2,1,FAST,171.951179
2,1,FAST,146.938620
2,1,FAST,111.210033
2,1,FAST,158.212827
2,1,FAST,113.972020
2,1,FAST,152.005506
2,1,FAST,120.958493
2,1,FAST,82.865287
2,1,FAST,174.732776
2,1,FAST,134.419564
2,1,FAST,109.944694
2,1,FAST,136.375447
2,1,FAST,160.708315
2,1,FAST,169.633935
2,1,FAST,144.395567
2,1,FAST,152.183164
2,1,FAST,83.744501
2,1,FAST,138.317551
2,1,FAST,111.103365
2,1,FAST,105.382688
2,1,FAST,163.760472
2,1,FAST,147.207320
2,1,FAST,135.321214
2,1,FAST,154.375473
2,1,FAST,149.647508
2,1,FAST,103.912613
2,1,FAST,109.270653
2,1,FAST,156.050273
2,1,FAST,183.736776
2,1,FAST,84.104861
2,1,FAST,103.363241
2,1,FAST,156.173892
2,1,FAST,122.845998
2,1,FAST,152.499516
2,1,FAST,119.037589
2,1,FAST,94.066008
2,1,FAST,84.035898
2,1,FAST,182.295078
2,1,FAST,157.490947
2,1,FAST,176.883585
2,1,FAST,133.453111
2,1,FAST,128.891809
2,1,FAST,96.205504
2,1,FAST,107.492018
2,1,FAST,164.407486
2,1,FAST,120.068157
2,1,FAST,151.295456
2,1,FAST,133.960739
2,1,FAST,98.975223
2,1,FAST,95.040982
2,1,FAST,84.113577
