write_sz,ok,commit_mode,commit_ms,ds_durable_ms
2,1,SLOW_2PC,165.573280,940.868618
2,1,SLOW_2PC,165.541510,1037.606679
2,1,SLOW_2PC,165.237149,843.875495
2,1,SLOW_2PC,165.545368,964.867580
2,1,SLOW_2PC,165.565335,899.768066
2,1,SLOW_2PC,165.302668,1023.396901
2,1,SLOW_2PC,165.679128,1009.165340
2,1,SLOW_2PC,165.377566,989.839669
2,1,SLOW_2PC,165.868685,1051.788481
2,1,SLOW_2PC,165.303188,910.832466
2,1,SLOW_2PC,165.528730,1006.286603
2,1,SLOW_2PC,165.567788,926.819242
2,1,SLOW_2PC,165.528864,914.582092
2,1,SLOW_2PC,165.475536,1030.993483
2,1,SLOW_2PC,165.543476,861.262336
2,1,SLOW_2PC,165.909312,887.838276
2,1,SLOW_2PC,165.701471,967.014214
2,1,SLOW_2PC,167.216090,955.981022
2,1,SLOW_2PC,165.731635,932.326008
2,1,SLOW_2PC,165.558094,1013.079331
2,1,SLOW_2PC,165.631117,895.347701
2,1,SLOW_2PC,165.375435,900.754963
2,1,SLOW_2PC,165.551411,956.220742
2,1,SLOW_2PC,165.359658,947.547657
2,1,SLOW_2PC,165.866478,1016.209588
2,1,SLOW_2PC,165.870521,969.553697
2,1,SLOW_2PC,165.201563,1010.891545
2,1,SLOW_2PC,165.617483,971.411395
2,1,SLOW_2PC,165.370806,1032.626980
2,1,SLOW_2PC,165.552543,1044.998095
2,1,SLOW_2PC,165.420488,970.052877
2,1,SLOW_2PC,165.411613,1013.827137
2,1,SLOW_2PC,165.331991,921.199035
2,1,SLOW_2PC,165.533105,952.497350
2,1,SLOW_2PC,165.700794,1005.066649
2,1,SLOW_2PC,165.398385,968.658610
2,1,SLOW_2PC,165.945867,952.199236
2,1,SLOW_2PC,166.004376,963.686224
2,1,SLOW_2PC,165.616542,857.968269
2,1,SLOW_2PC,165.336944,912.074127
2,1,SLOW_2PC,165.579965,995.995890
2,1,SLOW_2PC,165.442557,976.691160
2,1,SLOW_2PC,165.340736,1045.162204
2,1,SLOW_2PC,165.437462,939.982718
2,1,SLOW_2PC,165.722795,966.808125
2,1,SLOW_2PC,166.677289,957.643657
2,1,SLOW_2PC,165.334617,834.814146
2,1,SLOW_2PC,165.337190,904.854272
2,1,SLOW_2PC,165.710384,992.297255
2,1,SLOW_2PC,165.525652,924.965430
2,1,SLOW_2PC,165.430899,906.034630
2,1,SLOW_2PC,165.377570,1001.779585
2,1,SLOW_2PC,165.439282,922.476520
2,1,SLOW_2PC,166.069727,981.189502
2,1,SLOW_2PC,165.871780,946.101308
2,1,SLOW_2PC,165.587530,919.059707
2,1,SLOW_2PC,166.018940,953.130204
2,1,SLOW_2PC,165.544814,939.534016
2,1,SLOW_2PC,165.706707,867.276613
2,1,SLOW_2PC,166.513729,955.707573
2,1,SLOW_2PC,165.582490,1003.440261
2,1,SLOW_2PC,165.743830,1043.028804
2,1,SLOW_2PC,165.421443,945.887282
2,1,SLOW_2PC,165.659849,1045.070210
2,1,SLOW_2PC,165.802435,989.340073
2,1,SLOW_2PC,165.477152,1031.761271
2,1,SLOW_2PC,165.638307,909.172151
2,1,SLOW_2PC,165.555229,833.074142
2,1,SLOW_2PC,165.663929,958.148011
2,1,SLOW_2PC,165.576706,905.503942
2,1,SLOW_2PC,165.467946,947.569914
2,1,SLOW_2PC,165.364010,930.048965
2,1,SLOW_2PC,165.564533,1008.056449
2,1,SLOW_2PC,165.723858,883.057550
2,1,SLOW_2PC,165.806844,1016.577479
2,1,SLOW_2PC,166.088935,805.714275
2,1,SLOW_2PC,166.262905,943.538335
2,1,SLOW_2PC,165.802931,957.583325
2,1,SLOW_2PC,165.824826,978.304680
2,1,SLOW_2PC,165.413412,890.710728
2,1,SLOW_2PC,165.835012,925.431014
2,1,SLOW_2PC,165.466128,930.141563
2,1,SLOW_2PC,165.794987,925.627054
2,1,SLOW_2PC,165.930937,1045.052517
2,1,SLOW_2PC,165.611181,1006.731601
2,1,SLOW_2PC,165.919174,949.819118
2,1,SLOW_2PC,166.104524,1007.672441
2,1,SLOW_2PC,165.681422,1012.490899
2,1,SLOW_2PC,165.529793,923.584115
2,1,SLOW_2PC,165.660576,912.585851
2,1,SLOW_2PC,165.703641,840.499685
2,1,SLOW_2PC,165.787571,957.251226
2,1,SLOW_2PC,165.796278,982.288501
2,1,SLOW_2PC,165.899354,976.291052
2,1,SLOW_2PC,166.042814,830.268134
2,1,SLOW_2PC,166.032849,955.446996
2,1,SLOW_2PC,165.400390,899.113981
2,1,SLOW_2PC,165.110404,947.974489
2,1,SLOW_2PC,165.231024,943.736364
2,1,SLOW_2PC,165.481884,994.073602
2,1,SLOW_2PC,165.640961,1000.104492
2,1,SLOW_2PC,165.627763,1002.850721
2,1,SLOW_2PC,165.329372,996.005899
2,1,SLOW_2PC,165.432838,972.867896
2,1,SLOW_2PC,165.890136,1045.943968
2,1,SLOW_2PC,166.214262,956.511761
2,1,SLOW_2PC,165.825805,978.686186
2,1,SLOW_2PC,166.164356,993.319450
2,1,SLOW_2PC,165.430096,1015.458204
2,1,SLOW_2PC,165.772359,981.108223
2,1,SLOW_2PC,165.394337,861.540618
2,1,SLOW_2PC,166.005122,1017.582096
2,1,SLOW_2PC,165.401571,920.129003
2,1,SLOW_2PC,166.041929,917.306609
2,1,SLOW_2PC,165.476447,866.298725
2,1,SLOW_2PC,166.215612,980.670800
2,1,SLOW_2PC,165.450386,1026.641029
2,1,SLOW_2PC,165.281902,1052.194068
2,1,SLOW_2PC,165.739485,1026.154065
2,1,SLOW_2PC,165.293198,973.559649
2,1,SLOW_2PC,165.336699,985.252192
2,1,SLOW_2PC,165.508307,1046.412540
2,1,SLOW_2PC,165.440338,941.906515
2,1,SLOW_2PC,165.511644,1024.005442
2,1,SLOW_2PC,165.145643,1017.410673
2,1,SLOW_2PC,165.652884,986.255952
2,1,SLOW_2PC,165.471696,906.634177
2,1,SLOW_2PC,165.990775,944.216891
2,1,SLOW_2PC,165.641190,969.243045
2,1,SLOW_2PC,166.022674,1038.261052
2,1,SLOW_2PC,165.840595,1009.412329
2,1,SLOW_2PC,165.678260,994.261564
2,1,SLOW_2PC,165.731607,733.303143
2,1,SLOW_2PC,165.895404,948.890756
2,1,SLOW_2PC,166.098564,884.730826
2,1,SLOW_2PC,165.704787,909.401584
2,1,SLOW_2PC,165.767472,813.976675
2,1,SLOW_2PC,165.507441,952.345226
2,1,SLOW_2PC,165.740279,906.409308
2,1,SLOW_2PC,166.345305,1007.151562
2,1,SLOW_2PC,165.809694,906.998832
2,0,SLOW_2PC,82.776262,inf
2,1,SLOW_2PC,165.485848,952.445559
2,1,SLOW_2PC,165.738390,1039.762667
2,1,SLOW_2PC,165.593289,989.922952
2,1,SLOW_2PC,165.345651,997.013324
2,1,SLOW_2PC,166.084976,1015.591191
2,1,SLOW_2PC,165.875938,956.549870
2,1,SLOW_2PC,165.686306,832.517052
2,1,SLOW_2PC,165.752471,911.185343
2,1,SLOW_2PC,166.353058,909.094726
2,1,SLOW_2PC,166.121284,917.343968
2,1,SLOW_2PC,165.690088,894.072966
2,1,SLOW_2PC,165.843060,979.117211
2,1,SLOW_2PC,165.558996,969.589471
2,1,SLOW_2PC,165.588178,1046.508035
2,1,SLOW_2PC,166.843004,868.153088
2,1,SLOW_2PC,165.608352,1005.827050
2,1,SLOW_2PC,165.389328,967.536914
2,1,SLOW_2PC,165.461263,1030.031501
2,1,SLOW_2PC,165.255499,1030.737491
2,1,SLOW_2PC,165.403637,942.864929
2,1,SLOW_2PC,165.913936,1001.268605
2,1,SLOW_2PC,166.158124,955.239149
2,1,SLOW_2PC,166.381168,955.764938
2,1,SLOW_2PC,165.630816,913.013390
2,1,SLOW_2PC,165.537286,1035.031105
2,1,SLOW_2PC,165.872732,958.701791
2,1,SLOW_2PC,165.586540,936.894808
2,1,SLOW_2PC,165.704868,967.536927
2,1,SLOW_2PC,166.089904,1013.129119
2,1,SLOW_2PC,165.799127,964.471471
2,1,SLOW_2PC,165.312541,946.391718
2,1,SLOW_2PC,165.921886,882.276520
2,1,SLOW_2PC,165.820217,970.289332
2,1,SLOW_2PC,165.423422,1008.483549
2,1,SLOW_2PC,165.919789,906.106570
2,1,SLOW_2PC,165.796187,973.752272
2,1,SLOW_2PC,165.668838,926.324365
2,1,SLOW_2PC,166.174561,977.949040
2,1,SLOW_2PC,165.528422,871.793669
2,1,SLOW_2PC,165.337279,1073.421197
2,1,SLOW_2PC,165.384261,935.377760
2,1,SLOW_2PC,165.555348,1010.718132
2,1,SLOW_2PC,165.758137,1022.566722
2,1,SLOW_2PC,165.373839,1004.595660
2,1,SLOW_2PC,165.495584,1050.139884
2,1,SLOW_2PC,165.344863,977.318350
2,1,SLOW_2PC,165.553617,1051.797566
2,1,SLOW_2PC,166.652997,955.981318
2,1,SLOW_2PC,165.742939,943.431917
2,1,SLOW_2PC,166.108676,1002.667478
2,1,SLOW_2PC,165.637047,882.960977
2,1,SLOW_2PC,165.630819,913.358650
2,1,SLOW_2PC,165.681674,1020.094937
2,1,SLOW_2PC,165.556166,978.005427
2,1,SLOW_2PC,165.919751,1038.379126
2,1,SLOW_2PC,165.534396,909.342760
2,1,SLOW_2PC,165.670861,854.679564
